1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
-0.013,-0.013,0.0,-0.003,-0.003,-0.019,0.003,-0.013,-0.006,0.0,-0.013,0.0,-0.003,-0.003,-0.019,0.003,-0.013,-0.006,0.0,-0.003,-0.093,0.045,-0.022,0.054,0.086,0.064,0.061,0.077,0.022,0.08,0.08,0.01,0.026,0.022,-0.054,-0.013,-0.022,-0.006,0.0,0.01,-0.026,-0.067,0.006,-0.022,-0.026,-0.022,0.051,-0.029,0.045,-0.003
-0.022,-0.003,0.019,-0.006,-0.013,0.003,-0.038,-0.003,-0.01,0.0,-0.003,0.019,-0.006,-0.013,0.003,-0.038,-0.003,-0.01,0.0,-0.013,-0.01,0.038,0.01,0.035,0.042,0.057,0.061,0.057,-0.006,0.07,0.099,0.019,0.038,0.035,-0.042,-0.019,-0.013,0.003,0.013,0.035,-0.067,-0.073,-0.013,-0.022,-0.045,-0.029,0.064,0.026,0.016,-0.026
-0.013,0.01,0.01,-0.01,-0.01,0.0,-0.032,-0.006,-0.013,0.0,0.01,0.01,-0.01,-0.01,0.0,-0.032,-0.006,-0.013,0.0,-0.01,0.051,0.035,0.073,0.029,-0.013,0.042,0.045,-0.016,0.022,0.022,0.131,0.019,0.064,0.01,-0.035,-0.035,0.013,0.0,0.016,0.057,-0.003,-0.073,-0.051,-0.003,-0.035,-0.048,0.07,0.035,0.0,0.01
0.0,0.0,-0.006,-0.006,-0.013,-0.022,-0.038,-0.01,0.003,0.0,0.0,-0.006,-0.006,-0.013,-0.022,-0.038,-0.01,0.003,0.0,-0.013,0.048,0.067,0.077,0.048,-0.035,0.035,0.061,0.048,0.029,-0.038,0.115,0.016,0.07,-0.125,-0.032,-0.029,0.013,0.0,0.013,0.077,0.016,-0.054,-0.112,-0.026,-0.026,-0.064,0.057,0.125,0.003,0.029
0.0,-0.003,-0.01,-0.013,0.003,-0.022,0.006,-0.013,0.0,-0.01,-0.003,-0.01,-0.013,0.003,-0.022,0.006,-0.013,0.0,-0.01,0.003,0.032,0.032,0.07,0.064,-0.038,0.003,0.061,0.109,-0.029,-0.064,0.067,0.048,0.067,-0.08,-0.016,-0.01,-0.016,0.013,0.048,0.064,0.035,0.006,-0.073,-0.054,-0.016,-0.048,0.051,0.23,0.0,0.022
-0.003,-0.016,0.013,-0.003,0.0,-0.016,0.022,-0.013,-0.006,0.013,-0.016,0.013,-0.003,0.0,-0.016,0.022,-0.013,-0.006,0.013,0.0,0.045,0.048,0.073,0.07,-0.045,-0.022,0.045,0.115,-0.038,-0.054,0.003,0.061,0.073,0.0,-0.016,-0.057,-0.042,0.013,0.073,0.048,0.054,0.073,-0.08,-0.073,-0.029,-0.026,0.048,0.166,0.0,-0.013
-0.01,-0.01,0.016,-0.013,-0.01,0.0,0.01,-0.01,0.013,-0.006,-0.01,0.016,-0.013,-0.01,0.0,0.01,0.01,0.013,-0.006,-0.01,0.057,0.048,0.054,0.051,-0.054,-0.013,0.022,0.08,0.022,-0.051,-0.089,0.07,0.042,0.006,-0.01,-0.006,-0.045,0.019,0.077,0.022,0.057,0.061,-0.038,-0.057,-0.016,-0.006,0.032,0.064,0.0,-0.016
-0.013,-0.019,-0.003,-0.013,-0.006,0.006,0.006,-0.006,0.006,-0.003,-0.019,-0.003,-0.003,-0.006,0.006,0.006,0.006,0.006,0.006,-0.006,0.029,0.029,0.029,0.035,-0.029,0.013,-0.013,0.045,0.073,-0.08,-0.006,0.07,0.013,0.006,0.0,0.045,-0.032,0.038,0.061,-0.029,0.086,0.061,0.006,-0.026,-0.026,-0.01,0.019,-0.013,-0.003,-0.016
-0.038,-0.013,-0.013,-0.013,-0.003,0.01,-0.006,-0.013,0.0,-0.003,-0.038,-0.013,-0.013,-0.003,0.01,0.01,-0.006,-0.013,0.0,-0.003,-0.118,0.013,-0.01,0.006,0.006,0.029,-0.042,0.019,0.013,-0.064,0.045,0.054,-0.016,0.026,0.006,0.077,-0.07,0.054,0.07,-0.038,0.035,0.08,0.026,0.019,-0.048,-0.08,0.006,-0.019,0.0,-0.013
-0.054,-0.013,-0.016,-0.016,-0.016,0.003,-0.013,-0.006,-0.01,-0.01,-0.054,-0.016,-0.016,-0.016,-0.016,0.003,-0.013,-0.006,-0.01,-0.016,-0.061,-0.013,-0.032,-0.016,0.01,0.0,-0.061,-0.099,-0.096,-0.045,0.029,0.038,-0.045,0.003,0.013,0.061,-0.051,0.07,0.064,-0.057,-0.032,0.073,0.08,0.048,-0.019,-0.096,0.08,-0.086,-0.003,-0.057
